Gene_acc,Gene_id,SMm1,SMm2,SMm3,SMm4,NST1m1,NST1m2,NST1m3,NST1m4,Desc
31,Tb09.v4.0150,40246.0,41655.0,45352.0,42952.0,54303.0,53096.0,56268.0,33774.0,"variant surface glycoprotein (VSG, pseudogene), putative"
33,Tb927.10.4430,746970.0,814990.0,822970.0,831380.0,1030400.0,1135500.0,1157200.0,1050000.0,pumillo RNA binding protein PUF1
34,Tb927.10.4440,48301.0,52579.0,47762.0,46897.0,73300.0,70717.0,69501.0,74391.0,predicted SAP domain protein
35,Tb10.v4.0035,1639600.0,1771900.0,1661900.0,1781100.0,2407400.0,2506900.0,2523800.0,2517600.0,"stress-inducible protein STI1-like, putative"
36,Tb927.10.4460,107930.0,102160.0,111210.0,97155.0,119590.0,126980.0,127060.0,113030.0,"leucine carboxyl methyltransferase, putative"
37,Tb927.10.4470,27299.0,30815.0,38649.0,34588.0,37614.0,41460.0,59165.0,52238.0,"hypothetical protein, conserved"
38,Tb927.10.4490,387130.0,408160.0,420460.0,372500.0,494020.0,530220.0,477390.0,478070.0,"hypothetical protein, conserved"
39,Tb927.10.4500,538380.0,578020.0,552770.0,554770.0,700930.0,793690.0,810050.0,813430.0,cap guanine-N7 methyltransferase
40,Tb10.v4.0041,223890.0,246630.0,250890.0,216020.0,288490.0,290730.0,289920.0,298900.0,"PUB domain containing protein, putative"
41,Tb927.10.4330,12588.0,12764.0,13502.0,17835.0,12278.0,12089.0,17109.0,16372.0,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
42,Tb927.10.4320,227260.0,246520.0,204530.0,229420.0,263630.0,280740.0,269930.0,303960.0,"hypothetical protein, conserved"
43,Tb927.10.4310,1000900.0,1074200.0,1114900.0,995850.0,1314800.0,1363400.0,1469700.0,1367200.0,"prohibitin 2, putative"
44,Tb10.v4.0052,140720.0,154900.0,157140.0,142860.0,156130.0,149800.0,167910.0,151070.0,microtubule-associated protein 2
51,Tb10.v4.0213,67261.0,80418.0,87205.0,74803.0,83271.0,98860.0,102070.0,92527.0,"expression site-associated protein 1 (ESAG1), putative"
52,Tb10.v4.0216,62150.0,64082.0,61627.0,50070.0,106700.0,88084.0,98601.0,117690.0,"variant surface glycoprotein (VSG, pseudogene), putative"
53,Tb10.v4.0240,923910.0,1091900.0,1007600.0,1003700.0,1276300.0,1252400.0,1308400.0,1301800.0,"variant surface glycoprotein (VSG, pseudogene), putative /product"
54,Tb927.10.6900,30306.0,41632.0,38536.0,34800.0,52854.0,47814.0,54114.0,44442.0,base J-associated glucosyltransferase
55,Tb927.10.6950,135020.0,123760.0,108030.0,114100.0,164460.0,162050.0,181520.0,159620.0,"sterol 24-c-methyltransferase, putative"
56,Tb11.01.2730,93962.0,93386.0,102500.0,97585.0,141880.0,162360.0,152500.0,153910.0,"hypothetical protein, conserved"
58,Tb11.02.5070b,39879.0,40440.0,37929.0,34537.0,37629.0,42924.0,42187.0,37990.0,"hypothetical protein, conserved"
59,Tb927.11.7213,900810.0,1010800.0,984810.0,924350.0,1008400.0,1209600.0,1054500.0,1132800.0,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative"
60,Tb11.02.5090b,124520.0,139030.0,126580.0,127530.0,173100.0,178600.0,196670.0,203030.0,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
61,Tb11.02.5360b,25576.0,22138.0,26877.0,26824.0,30662.0,28572.0,31463.0,36305.0,"hypothetical protein, conserved"
62,Tb11.02.5380b,451350.0,492250.0,553610.0,488070.0,682800.0,676520.0,735520.0,742650.0,"exosome complex exonuclease RRP44p homologue, putative"
63,Tb11.02.5390b,118940.0,126920.0,132760.0,124320.0,167760.0,154140.0,179720.0,156920.0,"mRNA processing protein, putative"
64,Tb11.02.5410b,21078.0,19629.0,25509.0,23727.0,23784.0,25070.0,22255.0,27757.0,"ubiquitin activating enzyme, putative"
65,Tb11.02.5420b,624470.0,702630.0,710580.0,643240.0,973940.0,896530.0,1047800.0,974650.0,"NADPH-cytochrome p450 reductase, putative"
66,Tb11.02.5430b,20164.0,13409.0,16910.0,13244.0,23882.0,25191.0,27205.0,24333.0,"hypothetical protein, conserved"
67,Tb927.6.4980,2115600.0,1870200.0,2153000.0,1861000.0,2996900.0,2974700.0,3132000.0,2926900.0,40S ribosomal protein S14
68,Tb927.11.7670,70836.0,52742.0,78004.0,62750.0,95674.0,92031.0,117050.0,100700.0,"Cornifin (SPRR) family, putative"
69,Tb927.10.1130,344100.0,353870.0,369890.0,353650.0,485070.0,515110.0,550020.0,530840.0,"dynein arm light chain, axonemal, putative"
70,Tb927.10.1140,84076.0,106580.0,93810.0,93217.0,141640.0,143590.0,155070.0,146130.0,epsilon tubulin
71,Tb927.10.1150,7010.9,6667.6,6822.9,7121.9,7926.7,12592.0,10363.0,10723.0,"hypothetical protein, conserved"
72,Tb927.10.1160,0.0,5482.2,3458.3,3339.6,3678.7,0.0,5802.5,3357.5,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
74,Tb927.11.715,233050.0,304170.0,248020.0,231800.0,337670.0,324530.0,331390.0,352770.0,"dynein light chain LC8, putative"
75,Tb11.0850,514560.0,605300.0,553020.0,515030.0,633320.0,661920.0,683120.0,704800.0,"SCAMP family, putative"
76,Tb927.4.1100,3032900.0,3119400.0,3351600.0,3026800.0,4011600.0,4207200.0,4466200.0,4162000.0,"ribosomal protein L21E (60S), putative"
78,Tb11.1220,5088300.0,5346400.0,5551700.0,5854200.0,6845400.0,6726400.0,7887500.0,7525700.0,hypothetical protein
79,Tb927.10.15270,1294400.0,1306400.0,1490900.0,1313600.0,1667100.0,1786500.0,1880500.0,1771800.0,"metallo- peptidase, Clan MG, Family M24"
80,Tb927.11.1840,20079000.0,20153000.0,20058000.0,19940000.0,25274000.0,25422000.0,27436000.0,26506000.0,"hypothetical protein, conserved"
81,Tb11.1780.1-p1,117330.0,118400.0,118410.0,137250.0,191670.0,188350.0,210750.0,179210.0,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
82,Tb11.1790.1-p1,1841700.0,2128500.0,2119300.0,1917000.0,3039500.0,3124200.0,3118500.0,2983600.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
83,Tb11.v5.0111,9947.8,8765.7,9188.3,9303.6,8696.0,10973.0,11201.0,11086.0,"variant surface protein (VSG), putative"
85,Tb927.7.4600,80484.0,80757.0,82490.0,82738.0,133780.0,134920.0,354810.0,118040.0,"Calponin homology (CH) domain containing protein, putative"
86,Tb927.7.4640,14489.0,11868.0,15962.0,16342.0,32398.0,41897.0,42861.0,33513.0,"hypothetical protein, conserved"
87,Tb927.7.4650,152820.0,152560.0,161270.0,143340.0,183040.0,211540.0,246590.0,204740.0,J Biosynthesis Protein 2
88,Tb927.7.4670,59158.0,52245.0,60917.0,48161.0,77456.0,74007.0,71788.0,76199.0,ribosomal RNA processing protein 4
89,Tb927.7.4690,154340.0,168320.0,161500.0,166400.0,192380.0,183890.0,203690.0,210970.0,hypothetical protein
90,Tb11.v5.0154,5316800.0,5512200.0,5791200.0,5221900.0,7332000.0,7300700.0,7632400.0,7528900.0,"WD domain, G-beta repeat, putative"
91,Tb927.7.4730,2873.4,2512.6,2162.6,1670.4,2854.1,2735.3,3265.9,2329.8,pumilio/PUF RNA binding protein 5
92,Tb927.7.4740,24243.0,32842.0,31898.0,24355.0,37129.0,42249.0,41140.0,39663.0,"hypothetical protein, conserved"
93,Tb927.7.4750,156020.0,144850.0,156670.0,160480.0,164050.0,169040.0,178730.0,189040.0,"hypothetical protein, conserved"
94,Tb927.7.4770,8109500.0,9661800.0,9362600.0,9069900.0,10979000.0,11762000.0,11919000.0,11412000.0,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
95,Tb927.7.4780,12943.0,7740.0,11239.0,8835.5,16264.0,16227.0,16101.0,12842.0,"conserved hypothetical protein, putative"
96,Tb927.7.4790,219010.0,279010.0,250570.0,216380.0,328510.0,334670.0,354930.0,354480.0,proteasome beta 6 subunit
97,Tb927.7.4810,345090.0,347440.0,345640.0,318960.0,522310.0,498330.0,508740.0,516020.0,"HD domain containing protein, putative"
98,Tb927.7.4820,109740.0,101320.0,101540.0,114320.0,134360.0,112450.0,122440.0,128010.0,"Trm112p-like protein, putative"
99,Tb927.7.4840,185410.0,216570.0,217600.0,221300.0,268440.0,309820.0,290900.0,297490.0,"hypothetical protein, conserved"
100,Tb927.7.4860,31923.0,34007.0,36217.0,31663.0,40799.0,44237.0,52540.0,48040.0,kinetoplastid kinetochore protein 13
101,Tb927.7.4870,126530.0,138530.0,148170.0,121200.0,162670.0,165630.0,188760.0,164380.0,"hypothetical protein, conserved"
102,Tb927.7.4900,953580.0,1005400.0,1099500.0,945520.0,1293100.0,1333600.0,1440300.0,1345700.0,5-3 exoribonuclease A
103,Tb927.7.4910,2380900.0,2653000.0,2416800.0,2391500.0,3363500.0,3494100.0,3452600.0,3497300.0,"hypothetical protein, conserved"
104,Tb927.7.4930,17137.0,13672.0,13717.0,14844.0,22248.0,23247.0,26802.0,16974.0,ribonuclease H1
105,Tb927.7.4940,51012.0,56910.0,59629.0,56485.0,77766.0,75449.0,83537.0,69627.0,"serine peptidase, clan SC, family S9A-like protein"
106,Tb927.7.4960,125440.0,116030.0,133850.0,120850.0,138650.0,164070.0,193010.0,158310.0,"hypothetical protein, conserved"
107,Tb927.7.4970,7231.1,8897.0,7716.0,5202.1,4090.5,5482.5,6169.2,7555.3,"glutamine synthetase, putative"
108,Tb927.7.4980,9985.0,13465.0,11168.0,10885.0,16257.0,17313.0,20173.0,17255.0,Present in the outer mitochondrial membrane proteome 35
109,Tb927.7.4990,400990.0,417990.0,418300.0,394290.0,574450.0,579220.0,653730.0,618610.0,"hypothetical protein, conserved"
110,Tb927.7.5020,14173000.0,13865000.0,15018000.0,14027000.0,21573000.0,21477000.0,20170000.0,19675000.0,"60S ribosomal protein L19, putative"
111,Tb927.7.5030,482030.0,496990.0,506530.0,449290.0,663490.0,723770.0,753230.0,688480.0,"hypothetical protein, conserved"
112,Tb927.7.5050,495240.0,543150.0,613010.0,558000.0,726690.0,756230.0,771370.0,727770.0,"hypothetical protein, conserved"
113,Tb927.10.5950,33873.0,38991.0,40134.0,35907.0,47494.0,50491.0,61292.0,61984.0,"Serine/threonine-protein kinase NEK17, putative"
114,Tb11.v5.0191,42472.0,40194.0,47675.0,52991.0,70225.0,66975.0,70805.0,74978.0,"ELMO/CED-12 family, putative"
115,Tb927.10.5970,4350.2,5478.0,3965.0,5236.0,6247.5,4086.3,6470.0,6245.6,predicted zinc finger protein
116,Tb927.10.5990,986000.0,905150.0,938610.0,960900.0,1295600.0,1336400.0,1377800.0,1289700.0,"Centrosomal protein of 57 kDa, putative"
117,Tb11.v5.0196,3732200.0,3537000.0,3907400.0,3685600.0,5065300.0,5316500.0,5547900.0,5185300.0,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
118,Tb927.10.6060,401480.0,358250.0,322030.0,341290.0,539890.0,644240.0,589040.0,502530.0,universal minicircle sequence binding protein 2
119,Tb927.10.6080,691930.0,789450.0,778210.0,679450.0,981410.0,1060200.0,1033900.0,985440.0,"proteasome subunit beta type-5, putative"
120,Tb11.v5.0201,33551.0,36868.0,40580.0,31008.0,43910.0,48295.0,45968.0,38259.0,"tRNA pseudouridine synthase A, putative"
121,Tb927.10.6110,9005.5,9217.7,8998.6,13621.0,11479.0,13412.0,16434.0,12404.0,"hypothetical protein, conserved"
122,Tb927.10.6120,28165.0,31467.0,31800.0,30060.0,40736.0,44547.0,46734.0,38903.0,"Peptidase M76 family, putative"
123,Tb927.5.310,4108900.0,4155700.0,4344100.0,3995400.0,4856900.0,4868800.0,5158600.0,5514100.0,"invariant surface glycoprotein, putative"
124,Tb927.5.291b,20881.0,19350.0,23470.0,17671.0,33543.0,28574.0,27013.0,31231.0,"variant surface glycoprotein (VSG)-related, putative"
125,Tb927.5.295b,3161100.0,3274400.0,3354900.0,3194800.0,3870200.0,4124300.0,4364000.0,4373600.0,retrotransposon hotspot (RHS) protein 1
126,Tb927.5.300b,212940.0,232420.0,234350.0,220590.0,263350.0,261310.0,273920.0,253120.0,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative"
127,Tb927.5.309b,2306600.0,2396800.0,2474400.0,2243200.0,2571300.0,3035500.0,3032300.0,2678800.0,"invariant surface glycoprotein, putative"
128,Tb927.5.500,368970.0,381540.0,435160.0,398990.0,539560.0,566700.0,624780.0,581040.0,"hypothetical protein, conserved"
129,Tb927.5.450,42302.0,52140.0,54681.0,55296.0,49215.0,59629.0,61464.0,54508.0,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
130,Tb927.5.420,135920.0,142220.0,143510.0,152180.0,190210.0,201710.0,199750.0,160970.0,"invariant surface glycoprotein, putative"
131,Tb927.5.410,82542.0,77345.0,85904.0,82844.0,72896.0,73657.0,80441.0,70523.0,"invariant surface glycoprotein, putative"
132,Tb927.5.390,1225800.0,1297800.0,1257900.0,1204400.0,1612300.0,1643800.0,1670700.0,1668200.0,"75 kDa invariant surface glycoprotein, putative"
133,Tb927.5.370,448280.0,417240.0,414670.0,409170.0,625980.0,623260.0,689340.0,615670.0,"75 kDa invariant surface glycoprotein, putative"
134,Tb927.5.360,4495600.0,4758200.0,4881400.0,4679200.0,5176400.0,5545200.0,5920600.0,5214400.0,75 kDa invariant surface glycoprotein
135,Tb11.v5.0232,576780.0,576350.0,592640.0,546960.0,786990.0,774410.0,809610.0,785330.0,"hypothetical protein, conserved"
136,Tb927.10.5240,219170.0,211550.0,221790.0,236210.0,303440.0,355190.0,347390.0,316530.0,"cAMP binding protein, putative"
137,Tb927.10.5210,14124.0,18231.0,23275.0,18319.0,24245.0,27787.0,33254.0,27063.0,TFIIH basal transcription factor subunit
138,Tb927.10.5200,29558.0,30336.0,34788.0,32235.0,42055.0,47178.0,47324.0,46475.0,"hypothetical protein, conserved"
139,Tb927.10.5340,8471400.0,9029900.0,8816200.0,7511500.0,10811000.0,10966000.0,12413000.0,11622000.0,"40S ribosomal protein S18, putative"
140,Tb927.10.5310,70021.0,78800.0,91081.0,71055.0,83065.0,85405.0,93291.0,84478.0,"AMP-activated kinase, alpha 1"
141,Tb927.10.5300,391740.0,392610.0,390750.0,404710.0,505440.0,579170.0,555260.0,570100.0,"eukaryotic translation initiation factor 6 (eIF-6), putative"
142,Tb927.10.5280,238290.0,238950.0,256930.0,228820.0,327900.0,326040.0,348660.0,326590.0,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
143,Tb927.10.5270,71277.0,74533.0,70980.0,67175.0,108220.0,108140.0,116070.0,100020.0,mitogen-activated protein kinase kinase 5
144,Tb927.11.7310,96304.0,82036.0,90444.0,100490.0,120580.0,130920.0,136760.0,142890.0,"RNA binding protein, putative"
145,Tb927.11.7300,23684.0,25723.0,29914.0,27160.0,38397.0,40874.0,40402.0,39690.0,"major facilitator superfamily, putative"
146,Tb927.11.7290,727600.0,752230.0,843530.0,770940.0,1411900.0,1455900.0,1533100.0,1484800.0,"pantothenate kinase subunit, putative"
147,Tb927.11.7280,62896.0,76713.0,74892.0,62117.0,94613.0,90638.0,108030.0,106770.0,"DNA-direcetd RNA polymerase II, subunit 9, putative"
148,Tb927.11.7270,1595600.0,1563700.0,1601500.0,1508200.0,1758300.0,1911500.0,2050800.0,1936800.0,"proteasome beta 3 subunit, putative"
149,Tb927.11.7240,734730.0,812750.0,879410.0,799920.0,985020.0,999420.0,1098300.0,993640.0,nexin-dynein regulatory complex 2
150,Tb927.7.4480,12188000.0,12357000.0,13009000.0,12756000.0,13591000.0,15073000.0,14840000.0,14224000.0,"adenosine 5-monophosphoramidase, putative"
151,Tb927.7.4490,351660.0,375620.0,392820.0,352860.0,575920.0,571380.0,564170.0,582180.0,"hypothetical protein, conserved"
152,Tb927.7.4500,4018900.0,4068200.0,4266100.0,4104900.0,5047200.0,5356000.0,5364500.0,5345100.0,"PX domain containing protein, putative"
153,Tb927.7.4510,152080.0,136610.0,163620.0,137370.0,188220.0,184480.0,190030.0,254240.0,"Domain of unknown function (DUF4201), putative"
154,Tb927.7.4520,10988000.0,11368000.0,11881000.0,10955000.0,12495000.0,12601000.0,13167000.0,12184000.0,"Thioredoxin-like, putative"
155,Tb927.7.4550,537120.0,585080.0,625750.0,520500.0,698790.0,729140.0,746860.0,731150.0,Mitochondrial ribosomal protein L7/L12
156,Tb927.7.4560,22115.0,21986.0,23285.0,19912.0,29890.0,34046.0,33071.0,33279.0,Histone acetyltransferase 1
157,Tb927.7.4570,4994700.0,5746800.0,5532800.0,5162400.0,6619800.0,6766500.0,7045600.0,7222800.0,inosine-guanine nucleoside hydrolase
158,Tb927.10.6350,556260.0,690240.0,635330.0,642870.0,740530.0,854870.0,844630.0,901370.0,trypanin
159,Tb927.10.6340,96862.0,90368.0,86152.0,96135.0,134930.0,143290.0,159190.0,132510.0,"hypothetical protein, conserved"
160,Tb927.10.6330,192690.0,201030.0,231230.0,202260.0,266060.0,280870.0,295840.0,280550.0,kinetoplastid kinetochore protein 1
161,Tb927.10.6320,781070.0,814130.0,893080.0,867340.0,1031300.0,1192100.0,1302600.0,1125700.0,"CBF/Mak21 family, putative"
162,Tb927.10.6310,1703600.0,1659000.0,1775300.0,1723500.0,2363900.0,2436100.0,2586400.0,2362000.0,"major vault protein, putative"
163,Tb927.10.6290,846430.0,811240.0,887170.0,789270.0,1161800.0,1244600.0,1272100.0,1349400.0,"ATP-dependent DEAD/H RNA helicase, putative"
164,Tb927.5.340,5173.4,4308.9,3414.4,2399.1,4281.0,6928.4,7475.3,5795.6,"expression site-associated gene 5 (ESAG5) protein, putative"
165,Tb927.11.12770,14694.0,14979.0,14187.0,12223.0,14635.0,14587.0,16468.0,14649.0,"ubiquitin ligase, putative"
166,Tb927.11.12750,99761.0,113470.0,118070.0,103740.0,167720.0,174200.0,179310.0,148880.0,cleavage and polyadenylation specificity factor 30 kDa subunit
167,Tb927.10.15930,17643.0,20984.0,19396.0,13282.0,17862.0,21585.0,21130.0,20505.0,"pdz domain containing protein, putative"
168,Tb11.v5.0304,153700.0,127670.0,145450.0,141380.0,164880.0,164280.0,196950.0,164280.0,"cation transporter, putative"
169,Tb11.v5.0325,295560.0,319870.0,323030.0,296850.0,448570.0,445360.0,444730.0,443350.0,"retrotransposon hot spot (RHS) protein, putative"
170,Tb11.v5.0326,83406.0,77251.0,105900.0,102750.0,130710.0,133610.0,164560.0,154860.0,"retrotransposon hot spot (RHS) protein, putative"
171,Tb927.10.8440,6162100.0,6660200.0,6959700.0,6300000.0,4699000.0,4949400.0,5262600.0,5307100.0,glucose transporter 1B
172,Tb11.v5.0333,12495.0,9444.3,7579.3,7698.5,10253.0,8079.1,9206.7,7223.0,"THT1 - hexose transporter, putative, fragment"
173,Tb927.10.5080,536640.0,561600.0,578400.0,530970.0,680390.0,730280.0,774370.0,718280.0,GPI transamidase component Tta2
174,Tb927.10.5070,13710.0,21301.0,20326.0,19119.0,25647.0,31858.0,29346.0,23097.0,"ribonuclease H, putative"
175,Tb927.10.5040,467290.0,445930.0,511830.0,473490.0,563170.0,623160.0,627490.0,630070.0,"chaperone protein DnaJ, putative"
177,Tb927.1.1240,567530.0,553370.0,586980.0,567490.0,848560.0,830770.0,949570.0,921610.0,"cytidine triphosphate synthase, putative"
178,Tb927.1.1270,1101.4,0.0,987.75,1685.7,971.61,2025.7,2102.6,2249.4,"homocysteine S-methyltransferase, putative"
179,Tb11.v5.0364,769130.0,792920.0,778620.0,770630.0,1027900.0,1050900.0,1080900.0,1078700.0,"hypothetical protein, conserved"
180,Tb11.v5.0365,91179.0,125950.0,136500.0,134300.0,158620.0,161330.0,206650.0,170460.0,"hypothetical protein, conserved"
181,Tb11.v5.0366,3065500.0,3274400.0,3415000.0,3158200.0,4001100.0,4382500.0,4577300.0,4453500.0,"hypothetical protein, conserved"
182,Tb927.1.1310,70121.0,73792.0,80448.0,76832.0,93257.0,99150.0,93165.0,97869.0,"transmembrane protein, conserved"
183,Tb11.v5.0383,31298.0,29644.0,32536.0,27652.0,35414.0,44234.0,39827.0,46336.0,"zeta tubulin, putative"
184,Tb927.11.1180,934610.0,1012000.0,1010700.0,956760.0,1270900.0,1402300.0,1466300.0,1305000.0,"cdc2-related kinase 6, putative"
185,Tb927.1.1370,245820.0,226850.0,271370.0,240820.0,408520.0,382440.0,381640.0,420170.0,"rRNA biogenesis protein, putative"
186,Tb11.v5.0394,1199900.0,1119600.0,1199000.0,1058800.0,1491400.0,1660300.0,1618900.0,1606300.0,"hypothetical protein, conserved"
187,Tb927.10.16170,33871.0,34053.0,35310.0,35147.0,46452.0,51046.0,47549.0,38302.0,"potassium voltage-gated channel, putative"
188,Tb927.10.16150,237200.0,257730.0,238620.0,238100.0,288580.0,311830.0,318190.0,317120.0,"ATP-dependent zinc metallopeptidase, putative"
189,Tb11.v5.0406,76898.0,68006.0,87479.0,75662.0,111270.0,118530.0,117730.0,95074.0,"glycerol uptake protein, putative"
190,Tb927.10.540,7745600.0,8470200.0,8479900.0,8175100.0,10845000.0,10916000.0,10903000.0,11274000.0,"ATP-dependent RNA helicase SUB2, putative"
191,Tb927.10.14490,1786500.0,1984700.0,2119200.0,1964200.0,2462000.0,2602600.0,2804500.0,2586000.0,"hypothetical protein, conserved"
192,Tb927.5.350,374500.0,395980.0,387980.0,380070.0,410740.0,420310.0,476770.0,444030.0,"75 kDa invariant surface glycoprotein, putative"
193,Tb11.v5.0422,208240.0,211280.0,217060.0,190630.0,280920.0,296890.0,304230.0,300120.0,"SET domain containing protein, putative"
194,Tb927.10.15850,833540.0,785410.0,913780.0,794790.0,1137100.0,1150400.0,1222800.0,1145100.0,Peroxisome biogenesis factor 12
195,Tb11.v5.0429,9002.1,4201.0,6100.5,7215.8,8698.2,10950.0,12198.0,9016.1,"receptor-type adenylate cyclase GRESAG 4, putative"
196,Tb927.10.15390,671270.0,673820.0,611880.0,630100.0,855770.0,823230.0,927470.0,888130.0,Flagellum attachment zone protein 7
197,Tb927.11.3650,7576300.0,8595600.0,8485300.0,7648400.0,11489000.0,12177000.0,12893000.0,12340000.0,"adenylosuccinate synthetase, putative"
198,Tb927.1.1030,205870.0,221150.0,218080.0,197930.0,283230.0,336430.0,322920.0,310980.0,Nucleolar protein 49
200,Tb927.1.1560,3704100.0,3643600.0,3882800.0,3515300.0,4911400.0,4939100.0,5176400.0,5012000.0,"vesicular-fusion protein nsf, putative"
201,Tb927.10.15650,17019.0,17910.0,19123.0,15473.0,30002.0,32834.0,25985.0,32296.0,Mitoribosomal SSU assembly factor 11
202,Tb11.v5.0468,67089.0,46853.0,63945.0,58213.0,48130.0,56295.0,84940.0,52042.0,"alpha tubulin, putative"
203,Tb927.1.2390,22579000.0,24496000.0,24507000.0,22996000.0,33043000.0,33032000.0,37033000.0,35628000.0,beta tubulin
204,Tb927.3.3290,80209.0,96199.0,93560.0,92122.0,108310.0,94026.0,90831.0,104120.0,"protein kinase, putative"
205,Tb11.v5.0480,933530.0,1007200.0,1080100.0,1050800.0,1369700.0,1422000.0,1486500.0,1579200.0,"DNA-directed RNA polymerase, alpha subunit, putative"
206,Tb927.10.15380,169610.0,180700.0,167770.0,175390.0,263520.0,252890.0,283460.0,276550.0,"U3 snoRNA-associated protein UTP11, putative"
